keyword,lane,priority,domains_count,best_position,max_volume,min_kd,domains,reason_to_keep
cours d anglais luxembourg,english_german_adjacent,P2,4,3,70,19,inlingua.lu | luxlanguages.lu | moienasbl.lu | prolingua.lu,4 domains · vol 70 · best pos 3 · adjacent language demand
inll sproochentest,luxembourgish_route,P2,4,16,70,14,educateme.lu | luxlanguages.lu | luxlessons.lu | moienasbl.lu,4 domains · vol 70 · best pos 16 · direct local route signal
apprendre luxembourgeois,luxembourgish_route,P2,4,10,50,14,inlingua.lu | luxlanguages.lu | luxlessons.lu | prolingua.lu,4 domains · vol 50 · best pos 10 · direct local route signal
french classes luxembourg,french_language,P2,3,1,390,14,inll.lu | lifelong-learning.lu | prolingua.lu,3 domains · vol 390 · best pos 1 · local French demand
inl sproochentest,luxembourgish_route,P2,3,1,210,22,educateme.lu | inll.lu | luxlessons.lu,3 domains · vol 210 · best pos 1 · direct local route signal
langue luxembourg,general_language,P2,3,14,210,33,inlingua.lu | luxlanguages.lu | unipop.lu,3 domains · vol 210 · best pos 14 · category-level language demand
formation continue luxembourg,continuing_education,P2,3,1,140,29,houseoftraining.lu | infpc.lu | lifelong-learning.lu,3 domains · vol 140 · best pos 1 · discovery / continuing-ed lane
language school luxembourg,general_language,P2,3,2,90,22,educateme.lu | inlingua.lu | luxlessons.lu,3 domains · vol 90 · best pos 2 · category-level language demand
cours luxembourgeois en ligne,luxembourgish_route,P2,3,4,90,10,luxlessons.lu | moienasbl.lu | unipop.lu,3 domains · vol 90 · best pos 4 · direct local route signal
sproochentest lëtzebuergesch,luxembourgish_route,P2,3,5,70,17,educateme.lu | luxlessons.lu | sproochentest.etic.lu,3 domains · vol 70 · best pos 5 · direct local route signal
cours anglais intensif luxembourg,english_german_adjacent,P2,3,3,40,15,inlingua.lu | luxlanguages.lu | prolingua.lu,3 domains · vol 40 · best pos 3 · adjacent language demand
cours de langue française,french_language,P2,3,5,30,15,institut-francais-luxembourg.lu | luxlanguages.lu | prolingua.lu,3 domains · vol 30 · best pos 5 · local French demand
cours de français,french_language,P2,3,7,30,14,institut-francais-luxembourg.lu | luxlanguages.lu | prolingua.lu,3 domains · vol 30 · best pos 7 · local French demand
vivre ensemble au grand duché de luxembourg,exam_route,P3,2,0,1000,15,lifelong-learning.lu | unipop.lu,2 domains · vol 1000 · best pos 0 · official / route adjacency
lifelong learning,continuing_education,P3,2,1,880,18,infpc.lu | lifelong-learning.lu,2 domains · vol 880 · best pos 1 · discovery / continuing-ed lane
eformation lu,continuing_education,P3,2,12,720,21,educateme.lu | infpc.lu,2 domains · vol 720 · best pos 12 · discovery / continuing-ed lane
lifelong learning luxembourg,continuing_education,P3,2,1,590,23,infpc.lu | lifelong-learning.lu,2 domains · vol 590 · best pos 1 · discovery / continuing-ed lane
apprentissage adulte,continuing_education,P3,2,12,210,22,infpc.lu | unipop.lu,2 domains · vol 210 · best pos 12 · discovery / continuing-ed lane
formations continue,continuing_education,P3,2,1,140,28,houseoftraining.lu | lifelong-learning.lu,2 domains · vol 140 · best pos 1 · discovery / continuing-ed lane
luxembourg cours de langue,general_language,P3,2,4,140,33,luxlessons.lu | unipop.lu,2 domains · vol 140 · best pos 4 · category-level language demand
cours,general_language,P3,2,17,140,67,moienasbl.lu | unipop.lu,2 domains · vol 140 · best pos 17 · category-level language demand
cours anglais luxembourg,english_german_adjacent,P3,2,3,110,17,prolingua.lu | unipop.lu,2 domains · vol 110 · best pos 3 · adjacent language demand
formation professionnelle luxembourg,continuing_education,P3,2,3,110,37,infpc.lu | unipop.lu,2 domains · vol 110 · best pos 3 · discovery / continuing-ed lane
cours allemand luxembourg,english_german_adjacent,P3,2,4,50,13,prolingua.lu | unipop.lu,2 domains · vol 50 · best pos 4 · adjacent language demand
formation anglais luxembourg,english_german_adjacent,P3,2,4,50,0,luxlanguages.lu | unipop.lu,2 domains · vol 50 · best pos 4 · adjacent language demand
formation professionnelle,continuing_education,P3,2,4,50,40,infpc.lu | unipop.lu,2 domains · vol 50 · best pos 4 · discovery / continuing-ed lane
cours de langue,general_language,P3,2,3,40,26,luxlanguages.lu | prolingua.lu,2 domains · vol 40 · best pos 3 · category-level language demand
cours de francais au luxembourg,french_language,P3,2,4,40,9,institut-francais-luxembourg.lu | prolingua.lu,2 domains · vol 40 · best pos 4 · local French demand
formation lucien huss,continuing_education,P3,2,19,40,4,luxlanguages.lu | unipop.lu,2 domains · vol 40 · best pos 19 · discovery / continuing-ed lane
cours d anglais intensif luxembourg,english_german_adjacent,P3,2,3,30,15,prolingua.lu | unipop.lu,2 domains · vol 30 · best pos 3 · adjacent language demand
